TOTAL,UK,JAPAN,SOUTH KOREA,CHINA,TAIWAN,AUSTRALIA,ARGENTINA,BRAZIL,COLOMBIA,VENEZUELA,ITALY,NETHERLANDS,SPAIN,SWEDEN,SWITZERLAND,FRANCE,GERMANY
"2,402,926","427,485","366,922","93,817","58,809","32,678","57,635","20,869","43,030","29,030","51,313","107,236","42,589","72,026","19,486","22,722","116,418","142,896"
"2,127,059","421,942","328,275","67,771","53,003","28,285","73,112","25,261","51,372","29,345","43,400","45,642","47,162","45,314","26,788","28,732","77,658","161,907"
"2,160,422","457,523","291,843","56,223","44,950","21,630","55,666","22,234","56,386","30,418","39,245","51,267","53,227","45,816","39,374","30,130","95,616","152,256"
"1,864,426","381,313","282,754","50,932","39,808","17,242","46,641","17,375","50,698","30,546","44,317","46,180","37,571","39,673","28,200","22,652","66,047","111,610"
"2,179,971","412,822","285,860","63,100","38,768","18,012","69,200","21,450","77,736","53,219","67,465","71,566","42,552","53,233","33,533","26,088","87,196","123,419"
"1,667,306","248,272","271,988","84,958","55,643","31,050","54,172","26,963","82,951","24,012","31,431","39,629","31,769","28,484","24,859","17,769","58,298","91,569"
"1,663,065","321,044","275,865","58,515","42,661","19,466","39,727","29,841","45,164","19,550","30,552","37,186","34,520","30,333","29,160","18,879","78,221","108,012"
"2,054,590","401,629","303,384","56,082","46,730","19,693","47,121","25,660","48,993","36,381","41,165","49,977","37,821","57,157","37,783","27,070","72,398","163,336"
"2,043,120","437,342","226,591","51,959","46,508","19,295","55,018","24,345","55,759","27,175","32,693","59,073","69,086","41,895","34,011","30,580","130,725","133,789"
"2,212,729","380,364","266,812","67,847","59,380","27,344","67,592","28,827","62,536","32,708","34,754","53,263","56,534","46,880","31,802","28,679","102,871","188,717"
"2,202,405","366,440","266,637","72,649","54,732","33,568","66,089","22,756","56,505","51,804","30,569","68,202","53,490","59,561","43,215","27,346","94,469","148,571"
"2,636,697","432,075","286,794","80,830","66,218","35,737","57,305","34,692","81,961","43,822","40,869","88,726","81,831","82,473","31,833","46,171","165,085","162,104"
"2,601,265","442,710","321,429","92,204","69,704","30,842","62,939","26,775","53,525","33,963","60,027","146,363","49,308","104,584","22,433","27,627","162,527","174,413"
"2,224,572","415,898","287,616","55,821","61,343","28,141","78,543","30,050","63,117","27,317","45,250","56,101","54,926","62,673","30,862","33,640","94,667","191,503"
"2,173,125","435,349","257,826","47,761","46,402","19,316","52,304","24,820","67,428","36,780","39,646","57,527","60,151","50,375","46,023","34,967","118,136","177,167"
"1,757,800","327,551","233,975","39,334","41,159","15,249","44,133","19,868","56,069","32,783","46,988","45,942","36,593","40,695","29,120","22,803","71,295","117,125"
"2,104,777","356,221","250,661","51,434","41,837","15,192","64,984","23,547","95,224","52,973","73,209","77,474","41,773","53,223","35,916","26,424","95,250","125,993"
"1,539,857","199,739","236,597","70,458","70,987","27,698","46,192","31,981","87,162","23,137","30,533","41,984","27,416","26,988","22,130","17,379","56,360","82,809"
"1,477,601","244,898","248,810","43,090","33,788","11,923","32,958","32,775","57,114","18,087","27,079","34,891","32,175","27,358","23,939","18,191","81,600","92,604"
"1,670,120","278,371","275,091","46,689","40,999","15,705","39,914","25,763","44,117","24,917","31,492","44,204","33,965","38,856","26,008","22,750","73,303","134,132"
"2,053,246","379,050","215,478","47,658","45,969","15,755","58,566","29,392","69,175","35,334","40,967","61,441","59,072","53,847","32,046","35,001","134,053","151,428"
"1,911,411","340,070","182,173","54,656","42,118","19,554","67,384","28,049","57,468","29,344","29,869","52,527","48,614","41,179","24,928","30,029","101,879","173,305"
"1,965,630","339,272","161,880","63,507","42,851","23,629","64,776","21,891","64,457","52,746","33,685","62,542","41,838","57,464","33,932","29,589","93,568","129,880"
"2,446,500","367,749","244,412","89,451","56,353","26,348","66,824","43,626","90,492","43,427","42,741","82,052","77,602","68,741","23,958","48,647","153,577","157,716"
"2,438,329","384,781","295,840","88,749","87,185","27,156","64,698","27,032","72,355","31,436","61,798","124,345","48,214","83,633","19,187","27,861","147,468","175,500"
"2,139,208","371,979","309,435","56,147","68,234","22,148","85,129","31,228","71,007","30,011","46,638","54,608","47,974","53,464","23,905","33,148","88,457","165,970"
"2,201,623","402,713","253,654","53,166","53,842","17,293","69,319","32,171","90,421","41,365","44,652","60,288","55,651","50,930","36,050","37,439","113,037","184,383"
"1,738,986","273,682","233,742","49,710","46,155","15,732","56,128","23,975","72,277","35,309","47,234","47,473","34,540","39,575","24,938","24,774","68,845","112,432"
"2,173,673","316,863","261,156","80,565","52,359","16,604","71,688","28,545","116,566","59,413","70,497","86,955","40,729","54,731","33,396","30,919","92,343","126,666"
"1,667,830","189,333","257,112","98,629","67,351","25,996","56,300","35,706","113,440","27,826","27,966","45,039","28,215","29,690","23,196","19,750","58,729","86,683"
"1,620,897","235,046","279,432","64,648","51,496","22,304","43,104","36,092","79,758","20,697","25,325","38,067","33,614","29,589","24,959","21,749","81,705","93,264"
"2,033,811","302,711","317,774","68,094","45,323","18,279","56,782","33,468","73,490","42,603","38,093","56,079","34,100","58,382","33,766","27,761","74,985","167,225"
"1,914,155","314,235","225,264","70,945","49,694","17,782","69,805","32,529","87,826","29,793","28,752","49,906","46,391","41,755","28,053","32,351","116,126","116,465"
